***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39860.4341;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;60.0235;;
39860.4681;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;60.0108;;
39860.4841;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;59.9483;;
39860.5011;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;59.9792;;
39860.5171;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;60.0235;;
39860.5341;(-23.1857, 1.0250, 0.0023);87.6000;2.9000;60.0175;;
39860.5681;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;59.9878;;
39860.5841;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;59.9702;;
39860.6011;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;60.0035;;
39860.6181;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;60.0323;;
39860.6341;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;59.9789;;
39860.6681;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;60.0251;;
39860.6841;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;59.9881;;
39860.7011;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;60.0215;;
39860.7181;(-23.1858, 1.0250, 0.0023);87.6000;2.9000;59.9683;;
39860.7341;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;59.9905;;
39860.7681;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;59.9898;;
39860.7841;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;59.9704;;
39860.8011;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;60.0016;;
39860.8171;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;59.9705;;
39860.8341;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;60.0656;;
39860.8671;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;60.0384;;
39860.8845;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;60.0042;;
39860.9011;(-23.1859, 1.0250, 0.0023);87.6000;2.9000;60.0116;;
39860.9171;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;60.0016;;
39860.9341;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;60.0402;;
39860.9671;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;59.9992;;
39860.9842;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;59.9961;;
39861.0012;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;60.0228;;
39861.0182;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;59.9844;;
39861.0342;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;59.9869;;
39861.0672;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;60.0433;;
39861.0842;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;59.9749;;
39861.1012;(-23.1860, 1.0250, 0.0023);87.6000;2.9000;59.9653;;
39861.1172;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;59.9778;;
39861.1342;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;60.0093;;
39861.1671;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;60.0204;;
39861.1841;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;59.9741;;
39861.2011;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;59.9766;;
39861.2181;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;59.9800;;
39861.2343;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;59.9850;;
39861.2681;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;60.0363;;
39861.2842;(-23.1861, 1.0250, 0.0023);87.6000;2.9000;59.9570;;
39861.3012;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;60.0621;;
39861.3182;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;59.9837;;
39861.3342;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;59.9993;;
39861.3682;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;59.9942;;
39861.3845;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;59.9785;;
39861.4015;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;60.0229;;
39861.4175;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;59.9838;;
39861.4345;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;60.0154;;
39861.4675;(-23.1862, 1.0250, 0.0023);87.6000;2.9000;60.0116;;
39861.4845;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;59.9909;;
39861.5015;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;60.0166;;
39861.5175;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;59.9972;;
39861.5345;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;60.0290;;
39861.5671;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;59.9706;;
39861.5841;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;60.0201;;
39861.6008;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;60.0151;;
39861.6178;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;60.0224;;
39861.6348;(-23.1863, 1.0250, 0.0023);87.6000;2.9000;60.0118;;
39861.6678;(-23.1864, 1.0250, 0.0023);87.6000;2.9000;60.0516;;
39861.6845;(-23.1864, 1.0250, 0.0023);87.6000;2.9000;60.0068;;
39861.7012;(-23.1864, 1.0250, 0.0023);87.6000;2.9000;60.0160;;
39861.7172;(-23.1864, 1.0250, 0.0023);87.6000;2.9000;59.9962;;
39861.7352;(-23.1864, 1.0250, 0.0023);87.6000;2.9000;60.0123;;
39861.7682;(-23.1864, 1.0250, 0.0023);88.4000;2.6000;59.9889;;
39861.7853;(-23.1864, 1.0250, 0.0023);88.9000;2.5000;59.8156;;
39861.8013;(-23.1864, 1.0250, 0.0023);89.2000;2.5000;59.8882;;
39861.8173;(-23.1864, 1.0250, 0.0023);89.3000;2.5000;59.8446;;
39861.8343;(-23.1864, 1.0250, 0.0023);89.3000;2.5000;60.0632;;
39861.8673;(-23.1865, 1.0250, 0.0023);89.3000;2.4000;59.8733;;
39861.8843;(-23.1865, 1.0250, 0.0023);89.3000;2.4000;60.0770;;
39861.9014;(-23.1865, 1.0250, 0.0023);89.3000;2.4000;60.0702;;
39861.9184;(-23.1865, 1.0250, 0.0023);89.3000;2.4000;60.0193;;
39861.9354;(-23.1865, 1.0250, 0.0023);89.5000;2.4000;59.8810;;
39861.9674;(-23.1865, 1.0250, 0.0023);90.6000;2.8000;59.9795;;
39861.9844;(-23.1865, 1.0250, 0.0023);91.5000;3.1000;60.0993;;
39862.0014;(-23.1865, 1.0250, 0.0023);92.6000;3.5000;60.0724;;
39862.0174;(-23.1865, 1.0250, 0.0023);94.2000;4.0000;60.0257;;
39862.0344;(-23.1866, 1.0250, 0.0023);95.8000;4.5000;60.0645;;
39862.0675;(-23.1866, 1.0250, 0.0023);100.3000;5.4000;60.0725;;
39862.0845;(-23.1866, 1.0250, 0.0023);103.8000;6.2000;60.0344;;
39862.1015;(-23.1866, 1.0250, 0.0023);107.7000;7.2000;60.0376;;
39862.1181;(-23.1866, 1.0250, 0.0023);111.2000;7.9000;60.0116;;
39862.1341;(-23.1866, 1.0250, 0.0023);114.6000;8.5000;59.9956;;
39862.1681;(-23.1866, 1.0250, 0.0023);118.4000;9.3000;59.9471;;
39862.1841;(-23.1866, 1.0250, 0.0023);118.5000;9.3000;59.8873;;
39862.2011;(-23.1866, 1.0250, 0.0023);118.5000;9.3000;60.0098;;
39862.2176;(-23.1867, 1.0250, 0.0023);118.5000;9.3000;60.0246;;
39862.2347;(-23.1867, 1.0250, 0.0023);118.5000;9.3000;60.0646;;
39862.2672;(-23.1867, 1.0250, 0.0023);118.5000;9.3000;60.0591;;
39862.2842;(-23.1867, 1.0250, 0.0023);118.5000;9.3000;60.0180;;
39862.3012;(-23.1867, 1.0250, 0.0023);118.6000;9.3000;59.9003;;
39862.3172;(-23.1867, 1.0250, 0.0023);118.6000;9.3000;60.0163;;
39862.3341;(-23.1867, 1.0250, 0.0023);118.6000;9.3000;60.0472;;
39862.3681;(-23.1867, 1.0250, 0.0023);118.6000;9.3000;60.0376;;
39862.3841;(-23.1867, 1.0250, 0.0023);118.6000;9.3000;60.0054;;
39862.4011;(-23.1867, 1.0250, 0.0023);118.6000;9.3000;60.0294;;
39862.4181;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;59.9924;;
39862.4341;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;60.0267;;
39862.4681;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;60.0291;;
39862.4841;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;59.8942;;
39862.5011;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;60.0218;;
39862.5181;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;60.0048;;
39862.5341;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;60.0295;;
39862.5681;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;59.9966;;
39862.5841;(-23.1868, 1.0250, 0.0023);118.6000;9.3000;59.9882;;
39862.6011;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;60.0372;;
39862.6181;(-23.1869, 1.0250, 0.0023);118.6000;9.3000;59.9964;;
